site_name,url,status,date,listing_url_or_proof,notes
Free Internet Web Directory,https://www.freeinternetwebdirectory.com/,submitted,2026-09-14,POST /submit.php -> 'Link submitted and awaiting approval' (msg block),Free Regular; captcha OCR'd (4946); cat Cooking 297; sister of UK Internet Directory; email +pairdish-dir5
Quality Internet Directory,https://www.qualityinternetdirectory.com/,submitted,2026-09-16,3-step POST wizard -> 'Link submitted.' (td.msg block),phpLD network sibling; free Regular (LINK_TYPE=normal); cat 297 Recreation & Sports > Cooking; no captcha; review ~2-3 months; email +pairdish-dir6@gmail.com
Sites Web Directory,https://www.siteswebdirectory.com/,submitted,2026-09-16,GET/POST URL-param wizard + DO_MATH (8+6=14) -> 'Link submitted and awaiting approval.' (msg block),phpLD network sibling; free Regular (LINK_TYPE=2); cat 1987 Home > Cooking; DO_MATH challenge; success page recommends qid (chain closed); email +pairdish-dir6@gmail.com
High Rank Directory,https://www.highrankdirectory.com/,submitted,2026-09-18,"POST /submit.php -> ""Link submitted and awaiting approval."" (msg block)",Free Regular (LINK_TYPE=normal); captcha OCR'd (6574); cat 297 Cooking; email +pairdish-dir7; phpLD extension
USA Web Sites Directory,https://www.usawebsitesdirectory.com/,submitted,2026-09-18,"POST /submit.php -> ""Link submitted and awaiting approval.""",Free Regular; captcha OCR'd (4253); cat 297 Cooking; desc cap 500; email +pairdish-dir7
Australia Web Directory,https://www.australiawebdirectory.net/,submitted,2026-09-18,"POST /submit.php -> ""Link submitted and awaiting approval.""",Free Regular; captcha OCR'd (3553); cat 297 Cooking; geo-sister of phpLD family; email +pairdish-dir7
Germany Web Directory,https://www.germanywebdirectory.com/,submitted,2026-09-18,"POST /submit.php -> ""Link submitted and awaiting approval.""",Free Regular; captcha OCR'd (2372); cat 297 Kochen-Cooking; desc cap 500; email +pairdish-dir7
Italy Web Directory,https://www.italywebdirectory.net/,submitted,2026-09-18,"POST /submit.php -> ""Link submitted and awaiting approval.""",Free Regular; captcha OCR'd (6549); cat 297 Cooking; desc cap 500; email +pairdish-dir7
Turkey Web Directory,https://www.turkeywebdirectory.com/,submitted,2026-09-21,2026-09-21,POST /submit.php -> 'Link submitted and awaiting approval.' + email-confirm notice (msg block)
France Web Directory,https://www.francewebdirectory.net/,submitted,2026-09-21,2026-09-21,POST /submit.php -> 'Link submitted and awaiting approval.' (msg block)
WebSquash,https://www.websquash.com/,skipped_paid,2026-09-21,2026-09-21,n/a - /submit.php exposes a PayPal subscription form (cmd/business/amount fields)
A1 Web Directory,https://www.a1webdirectory.org/,skipped_other,2026-09-21,2026-09-21,n/a
Free Web Submission,https://www.freewebsubmission.com/,skipped_other,2026-09-21,2026-09-21,n/a
Directory Vault,https://www.directoryvault.com/,skipped_other,2026-09-21,2026-09-21,n/a
FreeTopRankDirectory,https://www.freetoprankdirectory.com/,submitted,2026-09-23,https://www.freetoprankdirectory.com/submit.php,"run 9 (2026-09-23): free Regular (LINK_TYPE=normal), category Cooking=297; success marker 'Link submitted and awaiting approval.' (class=msg). No captcha. phpLD sibling proven by the NY-tax campaign."
Fire Directory,https://fire-directory.com/,skipped_other,2026-09-23,https://fire-directory.com/submit.php,"run 9 (2026-09-23): free form requires reCAPTCHA ('Please check reCAPTCHA box') AND a reciprocal backlink on our own page -> badge class, do not submit."
Ask Directory,https://ask-directory.com/,skipped_other,2026-09-23,https://ask-directory.com/submit.php,run 9 (2026-09-23): free Regular form requires reCAPTCHA; POST carried the payload (TITLE echoed) but no msg block -> captcha wall.
Blogarama,https://www.blogarama.com/,skipped_other,2026-09-23,https://www.blogarama.com/add-a-site/,run 9 (2026-09-23): add-a-site is an account signup form (email+password); cron runner does not set passwords. User can register manually.
Marketing Internet Directory,https://www.marketinginternetdirectory.com,submitted,2026-09-25,submit.php msg block,phpLD single-form free Regular (LINK_TYPE=normal); cat 297 Cooking and Baking; captcha OCR 452872; desc cap 800; alias +pairdish-dir10
All States USA Directory,https://www.allstatesusadirectory.com,submitted,2026-09-25,submit.php msg block,phpLD single-form free Regular; cat 297 Cooking; captcha OCR 7623; desc cap 1000; alias +pairdish-dir10
ProLink Directory,https://www.prolinkdirectory.com,submitted,2026-09-25,msg: Your link was submitted and is now pending review.,phpLD AJAX categ-tree (hidden CATEGORY_ID=0); leaf 751 Home & Family > Cooking; captcha OCR qEGv; desc cap 1000; alias +pairdish-dir10
Diga Business Directory,https://www.digabusiness.com,submitted,2026-09-25,msg: We got your submission! We'll send you an email after approving it.,"phpLD AJAX categ-tree; leaf 199 Food and Cooking Businesses > Chef Businesses; 5-glyph captcha (1st read 'Invalid code', fresh IMAGEHASH -> uPMPy accepted); desc cap 1000; alias +pairdish-dir10"
